Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
16,3571,100,52.065149861,29.876852286,12.023592621,27.725007121,.079880453,82323,1097251696,182153,103601968
16,3581,100,52.065149861,29.876852286,11.720981704,27.917892270,.028271531,82323,1097251696,182153,103601968
16,3583,100,52.065149861,29.876852286,11.772581129,27.520176917,.035059877,82323,1097251696,182153,103601968
16,3593,100,52.065149861,29.876852286,11.768334761,27.777458095,.026726711,82323,1097251696,182153,103601968
16,3607,100,52.065149861,29.876852286,11.774818047,27.692884011,.070264799,82323,1097251696,182153,103601968
16,3613,100,52.065149861,29.876852286,12.024002101,27.820809216,.026996338,82323,1097251696,182153,103601968
16,3617,100,52.065149861,29.876852286,11.690407864,28.157431533,.051185583,82323,1097251696,182153,103601968
16,3623,100,52.065149861,29.876852286,11.781430927,27.585496941,.031308444,82323,1097251696,182153,103601968
16,3631,100,52.065149861,29.876852286,11.777357534,28.089052384,.028115204,82323,1097251696,182153,103601968
16,3637,100,52.065149861,29.876852286,11.648208984,27.728982868,.030170812,82323,1097251696,182153,103601968
16,3643,100,52.065149861,29.876852286,16.901002521,29.064169959,.242808720,82323,1097251696,182153,103601968
16,3659,100,52.065149861,29.876852286,11.767097581,27.950087968,.020926791,82323,1097251696,182153,103601968
16,3671,100,52.065149861,29.876852286,11.682357870,28.346005729,.028338886,82323,1097251696,182153,103601968
16,3673,100,52.065149861,29.876852286,11.651656892,27.706713852,.027765706,82323,1097251696,182153,103601968
16,3677,100,52.065149861,29.876852286,11.734979451,27.846549805,.028156983,82323,1097251696,182153,103601968
16,3691,100,52.065149861,29.876852286,11.700155905,29.325482830,.416790008,82323,1097251696,182153,103601968
16,3697,100,52.065149861,29.876852286,12.650067083,28.774853966,.160052539,82323,1097251696,182153,103601968
16,3701,100,52.065149861,29.876852286,12.024231427,27.881451829,.025230079,82323,1097251696,182153,103601968
16,3709,100,52.065149861,29.876852286,11.736499141,27.738819872,.030544825,82323,1097251696,182153,103601968
16,3719,100,52.065149861,29.876852286,12.002979361,28.762798782,.230868519,82323,1097251696,182153,103601968
256,3571,100,52.065149861,29.876852286,11.935165007,27.806066318,.028122237,82323,1097251696,182153,103601968
256,3581,100,52.065149861,29.876852286,11.638001545,27.736532055,.027609463,82323,1097251696,182153,103601968
256,3583,100,52.065149861,29.876852286,11.641032481,37.794912965,.179667779,82323,1097251696,182153,103601968
256,3593,100,52.065149861,29.876852286,12.416864702,33.613695072,.180751662,82323,1097251696,182153,103601968
256,3607,100,52.065149861,29.876852286,16.023118695,35.234099212,.169142726,82323,1097251696,182153,103601968
256,3613,100,52.065149861,29.876852286,12.244885044,29.906394203,.155819431,82323,1097251696,182153,103601968
256,3617,100,52.065149861,29.876852286,11.924825445,28.319161556,.031131279,82323,1097251696,182153,103601968
256,3623,100,52.065149861,29.876852286,11.949112760,28.499717239,.084271321,82323,1097251696,182153,103601968
256,3631,100,52.065149861,29.876852286,11.831970200,28.240030331,.132343978,82323,1097251696,182153,103601968
256,3637,100,52.065149861,29.876852286,11.781457984,28.006361386,.041664955,82323,1097251696,182153,103601968
256,3643,100,52.065149861,29.876852286,12.192295201,27.869830349,.027623200,82323,1097251696,182153,103601968
256,3659,100,52.065149861,29.876852286,11.842210768,27.940185598,.048805384,82323,1097251696,182153,103601968
256,3671,100,52.065149861,29.876852286,11.720479780,27.980325732,.051232440,82323,1097251696,182153,103601968
256,3673,100,52.065149861,29.876852286,11.760426960,28.088202057,.058732866,82323,1097251696,182153,103601968
256,3677,100,52.065149861,29.876852286,11.738425650,27.997491694,.028667711,82323,1097251696,182153,103601968
256,3691,100,52.065149861,29.876852286,11.801007676,27.853467031,.028179106,82323,1097251696,182153,103601968
256,3697,100,52.065149861,29.876852286,11.766839270,27.923958904,.080225061,82323,1097251696,182153,103601968
256,3701,100,52.065149861,29.876852286,11.769663944,27.753232353,.027835610,82323,1097251696,182153,103601968
256,3709,100,52.065149861,29.876852286,11.950821621,28.006158265,.030432116,82323,1097251696,182153,103601968
256,3719,100,52.065149861,29.876852286,11.746946137,27.912581113,.027445506,82323,1097251696,182153,103601968
65536,3571,100,52.065149861,29.876852286,11.821846444,28.037838878,.051841039,82323,1097251696,182153,103601968
