Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
16,137,20,12.305011860,6.465339982,2.316055254,5.898365577,.049606353,17203,231847024,37833,20592208
256,137,20,9.924224390,6.069547747,2.299225534,5.818052699,.016058487,17203,231847024,37833,20592208
65536,137,20,9.995490681,6.082418575,2.353713595,5.771060324,.016947068,17203,231847024,37833,20592208
16,137,30,14.738790824,8.749706470,3.507434096,7.999952743,.017847401,25343,314781424,55873,30959008
256,137,30,15.086341378,8.686085154,3.492943123,8.043353635,.017786511,25343,314781424,55873,30959008
65536,137,30,14.848702898,8.659550969,3.523743309,8.030841020,.015312714,25343,314781424,55873,30959008
16,137,40,19.911208640,12.161392631,4.698096099,11.405042499,.048943317,33483,464872688,73913,41331808
256,137,40,19.987552794,12.164327251,4.616572682,11.430781971,.019233491,33483,464872688,73913,41331808
65536,137,40,19.951011519,12.222474069,4.667362022,11.380942298,.020138492,33483,464872688,73913,41331808
16,137,50,25.057829184,14.775976775,5.860483285,13.722462135,.023932315,41623,547864688,91953,51705808
256,137,50,25.190970705,14.762101401,5.835741113,13.732818954,.021748771,41623,547864688,91953,51705808
65536,137,50,24.992107912,14.767149920,5.857102024,13.823055650,.019781744,41623,547864688,91953,51705808
16,137,60,30.413459464,17.702003009,7.226405304,16.011494959,.021095426,49763,630856688,109993,62079808
256,137,60,30.517952040,17.686399871,7.086383219,16.148464914,.021200791,49763,630856688,109993,62079808
65536,137,60,30.483004896,17.375269160,7.048119904,16.120513439,.020108937,49763,630856688,109993,62079808
16,137,70,35.183103721,20.030164758,8.189112636,18.233432138,.021344058,57903,713885168,128033,72458368
256,137,70,35.330719997,20.344482442,8.243845642,18.214282748,.023847573,57903,713885168,128033,72458368
65536,137,70,35.409830759,20.113061658,8.426999769,18.352826185,.020414879,57903,713885168,128033,72458368
16,137,80,40.919118934,24.271753326,9.408656344,22.779583242,.026572686,66043,931152496,146073,82839568
256,137,80,40.922887278,24.450439790,9.302844557,23.057352482,.050326167,66043,931152496,146073,82839568
65536,137,80,41.066738298,24.321401557,9.457455934,22.808238179,.026011290,66043,931152496,146073,82839568
16,137,90,46.270329687,26.580011420,10.753828032,25.481254277,.025293009,74183,1014202096,164113,93220768
256,137,90,46.098855723,26.893696841,10.574925321,25.831337633,.026751773,74183,1014202096,164113,93220768
65536,137,90,46.374653012,26.869613571,10.600742986,25.369241702,.024927542,74183,1014202096,164113,93220768
16,137,100,51.576060891,29.505020305,11.834627116,28.067692803,.028789847,82323,1097251696,182153,103601968
256,137,100,51.475475884,29.418722848,11.922055728,27.947017651,.026138466,82323,1097251696,182153,103601968
65536,137,100,51.280153224,29.245795551,11.778471580,27.731218513,.027045992,82323,1097251696,182153,103601968
16,139,20,10.175209086,6.199688763,2.369223137,5.827411938,.014982392,17203,231847024,37833,20592208
256,139,20,9.899463130,6.182888981,2.503047871,5.809695168,.016046143,17203,231847024,37833,20592208
65536,139,20,10.084384083,6.162139976,2.338179254,5.944290270,.015214651,17203,231847024,37833,20592208
